	score	l_child_score	r_child_score	phrase_length	pred_score	pred_phrase_length
0	2	3	1	3	2	3
1	3	3	2	1	2	1
2	1	1	2	1	2	1
3	3	3	2	20	3	20
4	3	2	3	11	2	11
5	2	2	2	8	3	8
6	3	2	3	10	3	10
7	2	2	3	7	3	7
8	3	2	2	9	2	9
9	3	3	2	6	3	6
10	2	2	3	8	2	8
11	3	2	2	5	3	5
12	3	2	3	7	2	7
13	2	2	2	4	3	4
14	3	3	3	6	2	6
15	2	3	2	3	3	3
16	3	2	2	3	2	3
17	3	2	3	2	2	2
18	2	2	2	2	2	2
19	2	2	2	2	2	2
20	3	2	4	1	3	1
21	2	2	2	1	2	1
22	2	2	2	1	2	1
23	4	4	2	22	3	22
24	4	4	4	21	3	21
25	4	3	2	4	3	4
26	4	2	3	16	3	16
27	3	2	3	3	3	3
28	2	2	2	2	2	2
29	3	2	3	13	3	13
30	3	2	3	2	3	2
31	2	2	2	1	2	1
32	3	3	2	12	3	12
33	3	2	3	1	3	1
34	3	2	4	5	3	5
35	2	2	2	6	1	6
36	4	3	3	4	3	4
37	2	2	2	5	1	5
38	3	3	2	2	3	2
39	3	2	2	1	2	1
40	2	1	2	4	1	4
41	3	2	4	1	3	1
42	1	2	2	1	1	1
43	2	2	2	2	1	2
44	2	2	2	1	2	1
45	2	2	3	25	3	25
46	2	2	2	1	2	1
47	3	3	2	23	3	23
48	3	3	3	22	3	22
49	3	3	2	3	3	3
50	3	2	3	18	2	18
51	2	2	3	2	3	2
52	3	2	3	17	2	17
53	3	4	2	1	3	1
54	2	2	2	2	2	2
55	3	2	2	14	2	14
56	2	2	2	1	2	1
57	2	2	3	13	2	13
58	2	2	2	3	2	3
59	3	2	4	9	2	9
60	2	2	2	2	2	2
61	4	2	4	8	2	8
62	2	2	2	1	2	1
63	4	2	4	7	2	7
64	4	2	4	6	2	6
65	4	4	2	5	2	5
66	4	2	3	2	3	2
67	2	2	2	2	2	2
68	3	2	2	1	3	1
69	2	2	2	1	2	1
70	4	4	2	8	3	8
71	4	2	3	7	3	7
72	3	3	2	6	3	6
73	3	2	3	2	3	2
74	2	2	3	3	2	3
75	3	3	2	1	3	1
76	3	3	2	2	2	2
77	3	3	2	1	2	1
78	3	2	4	19	1	19
79	4	2	3	18	1	18
80	2	1	2	3	2	3
81	3	3	2	14	1	14
82	1	1	2	1	1	1
83	2	2	2	1	2	1
84	3	2	3	13	1	13
85	2	2	2	2	2	2
86	3	2	2	10	1	10
87	2	2	3	1	1	1
88	2	2	2	9	1	9
89	2	1	3	8	1	8
90	1	2	1	3	2	3
91	3	2	3	4	2	4
92	2	2	1	1	2	1
93	1	2	0	1	1	1
94	3	2	3	3	2	3
95	3	2	3	2	3	2
96	3	3	2	1	3	1
97	3	4	2	21	3	21
98	4	4	2	20	3	20
99	4	3	2	11	3	11
100	2	2	3	8	3	8
101	3	2	3	10	3	10
102	3	2	3	7	3	7
103	3	2	3	9	3	9
104	3	2	2	6	3	6
105	3	2	2	8	2	8
106	2	4	1	5	2	5
107	2	2	2	7	3	7
108	1	2	1	4	1	4
109	2	2	4	2	3	2
110	2	2	2	4	2	4
111	1	2	1	3	1	3
112	4	3	2	1	3	1
113	2	2	2	3	2	3
114	1	2	0	2	1	2
115	2	2	2	2	2	2
116	0	0	2	1	0	1
117	2	2	2	1	2	1
118	3	2	3	6	3	6
119	3	2	3	5	3	5
120	3	2	3	4	3	4
121	3	3	2	3	3	3
122	3	2	1	2	3	2
123	2	2	2	1	2	1
124	3	2	4	13	3	13
125	2	2	2	4	2	4
126	4	3	2	8	3	8
127	2	2	3	1	2	1
128	2	2	2	2	2	2
129	3	2	3	7	3	7
130	2	2	2	1	2	1
131	3	3	2	6	3	6
132	3	2	3	3	3	3
133	2	2	2	2	2	2
134	3	2	2	2	3	2
135	2	2	2	1	2	1
136	2	3	2	1	4	1
137	4	2	3	14	3	14
138	3	4	2	13	3	13
139	4	3	2	12	3	12
140	3	3	2	4	3	4
141	2	2	2	7	2	7
142	3	2	3	3	3	3
143	2	2	2	4	2	4
144	2	2	2	2	2	2
145	3	2	3	2	3	2
146	2	2	2	3	2	3
147	2	2	2	1	2	1
148	2	2	2	1	2	1
149	2	3	2	2	2	2
150	3	2	2	1	2	1
151	3	2	4	12	3	12
152	4	2	3	11	3	11
153	3	2	4	10	3	10
154	2	3	2	2	2	2
155	4	3	2	7	3	7
156	2	2	2	1	2	1
157	3	2	3	6	3	6
158	3	1	3	5	1	5
159	1	2	2	3	3	3
160	3	4	3	1	3	1
161	2	2	1	2	3	2
162	1	2	3	1	3	1
163	3	1	3	23	2	23
164	3	2	3	22	1	22
165	3	3	2	21	1	21
166	3	2	3	20	2	20
167	2	2	3	1	2	1
168	3	2	3	18	2	18
169	3	2	3	17	2	17
170	3	2	2	16	2	16
171	2	2	3	15	2	15
172	3	2	3	14	2	14
173	2	2	2	2	2	2
174	3	2	2	11	2	11
175	2	2	2	1	2	1
176	2	2	2	10	2	10
177	2	2	3	9	2	9
178	3	2	2	8	2	8
179	2	2	3	7	2	7
180	2	2	2	2	2	2
181	3	3	2	4	2	4
182	2	2	2	1	2	1
183	3	2	2	2	2	2
184	2	2	2	1	2	1
185	2	2	2	1	2	1
186	4	4	2	9	3	9
187	4	4	2	8	3	8
188	4	2	4	7	3	7
189	4	2	4	6	3	6
190	4	4	2	5	3	5
191	4	4	2	3	3	3
192	2	2	2	1	2	1
193	4	2	3	2	3	2
194	3	3	3	1	3	1
195	2	2	2	11	2	11
196	2	2	3	10	2	10
197	3	2	2	9	3	9
198	2	2	2	8	2	8
199	2	2	3	7	2	7
200	3	2	3	6	2	6
201	2	2	2	1	2	1
202	3	2	3	4	2	4
203	3	2	2	3	2	3
204	2	2	2	1	2	1
205	2	2	2	1	2	1
206	3	2	3	23	3	23
207	2	2	2	1	2	1
208	3	3	2	21	3	21
209	3	3	2	20	3	20
210	3	3	2	1	3	1
211	2	2	2	18	2	18
212	2	2	2	17	2	17
213	2	2	2	2	2	2
214	2	2	2	14	2	14
215	2	2	2	1	2	1
216	2	2	1	13	2	13
217	1	3	2	12	2	12
218	3	2	4	9	2	9
219	2	3	2	2	2	2
220	2	2	2	1	2	1
221	4	2	4	7	2	7
222	2	2	2	1	2	1
223	4	3	2	6	2	6
224	3	2	3	3	2	3
225	2	2	2	2	2	2
226	3	3	2	2	2	2
227	2	2	2	1	2	1
228	3	2	2	1	3	1
229	2	3	1	5	2	5
230	1	1	2	4	2	4
231	1	2	1	2	2	2
232	2	2	2	1	2	1
233	1	2	2	1	1	1
234	4	3	2	7	3	7
235	3	4	2	6	3	6
236	4	4	2	3	4	3
